Date,Open,High,Low,Close,Adj Close,Volume
9/15/2018,209.81,226.60,209.61,223.07,223.07,1670490000
9/16/2018,222.80,222.80,211.12,220.59,220.59,1502260000
9/17/2018,221.58,224.26,195.31,197.88,197.88,2019910000
9/18/2018,197.10,213.36,195.93,209.98,209.98,1800640000
9/19/2018,209.47,213.87,201.66,209.97,209.97,1733330000
9/20/2018,210.29,224.82,207.79,224.59,224.59,1782070000
9/21/2018,225.25,248.39,221.57,246.58,246.58,2836200000
9/22/2018,247.34,251.20,233.81,240.48,240.48,1921820000
9/23/2018,240.99,247.46,237.86,244.33,244.33,1693470000
9/24/2018,244.84,245.11,227.49,228.73,228.73,1748740000
9/25/2018,228.33,228.33,206.49,218.51,218.51,2120360000
9/26/2018,218.65,221.44,209.11,215.85,215.85,1756100000
9/27/2018,215.44,230.61,212.65,228.49,228.49,2030320000
9/28/2018,229.04,231.75,218.67,222.40,222.40,2018120000
9/29/2018,221.71,234.01,216.08,231.63,231.63,2208720000
9/30/2018,231.33,236.99,228.45,232.85,232.85,1765560000
10/1/2018,233.22,234.15,226.95,230.77,230.77,1597500000
10/2/2018,231.10,231.17,225.84,227.18,227.18,1542080000
10/3/2018,226.41,226.46,213.97,220.49,220.49,1683930000
10/4/2018,220.45,226.15,220.09,222.22,222.22,1479500000
10/5/2018,222.27,228.32,220.96,227.60,227.60,1547330000
10/6/2018,227.55,227.93,224.25,225.12,225.12,1505070000
10/7/2018,225.43,226.37,223.00,226.12,226.12,1470480000
10/8/2018,226.51,230.76,224.56,229.26,229.26,1470740000
10/9/2018,229.71,230.16,226.40,227.98,227.98,1405130000
10/10/2018,227.62,227.71,224.49,225.77,225.77,1384040000
10/11/2018,225.61,225.61,189.28,189.50,189.50,2167620000
10/12/2018,188.71,199.40,188.71,196.73,196.73,1487900000
10/13/2018,196.36,201.28,196.36,199.84,199.84,1167610000
10/14/2018,199.69,201.83,195.24,195.71,195.71,1169260000
10/15/2018,195.27,222.12,194.16,209.70,209.70,2865830000
10/16/2018,209.63,212.17,207.98,210.12,210.12,1532280000
10/17/2018,210.22,211.13,205.93,207.08,207.08,1444130000
10/18/2018,207.40,208.47,201.74,203.35,203.35,1365860000
10/19/2018,203.26,204.66,201.84,203.73,203.73,1264480000
10/20/2018,203.51,206.22,203.09,205.43,205.43,1238780000
10/21/2018,205.39,208.15,204.62,205.14,205.14,1190300000
10/22/2018,205.17,206.93,203.38,204.04,204.04,1328980000
10/23/2018,204.02,205.15,201.91,204.34,204.34,1237490000
10/24/2018,204.13,205.58,203.35,203.85,203.85,1102220000
10/25/2018,203.87,204.13,201.82,202.72,202.72,1102900000
10/26/2018,202.34,204.78,201.55,203.33,203.33,1161310000
10/27/2018,203.36,206.08,203.13,204.21,204.21,1084810000
10/28/2018,204.51,205.92,203.52,205.37,205.37,1139140000
10/29/2018,205.17,205.60,195.73,197.25,197.25,1517230000
10/30/2018,197.20,198.12,196.35,197.56,197.56,1363500000
10/31/2018,197.65,198.34,196.53,197.38,197.38,1442380000
11/1/2018,197.54,203.75,197.33,198.87,198.87,1336700000
11/2/2018,198.98,201.27,198.76,200.63,200.63,1451870000
11/3/2018,200.74,200.74,199.52,200.19,200.19,1307150000
11/4/2018,200.16,211.27,198.99,207.49,207.49,1749300000
11/5/2018,207.10,210.82,206.57,209.09,209.09,1613510000
11/6/2018,209.47,218.45,207.89,218.45,218.45,1856940000
11/7/2018,218.90,221.65,216.80,217.18,217.18,1927830000
11/8/2018,217.33,218.34,212.20,212.23,212.23,1769080000
11/9/2018,211.99,213.32,209.51,210.07,210.07,1554750000
11/10/2018,209.98,213.86,209.80,212.53,212.53,1377760000
11/11/2018,212.48,213.00,208.87,211.34,211.34,1501600000
11/12/2018,211.51,212.62,208.92,210.42,210.42,1452380000
11/13/2018,210.15,210.51,206.13,206.83,206.83,1610260000
11/14/2018,206.53,207.04,174.08,181.40,181.40,2595330000
11/15/2018,181.90,184.25,170.19,180.81,180.81,2638410000
11/16/2018,180.87,181.35,173.13,175.18,175.18,2015330000
11/17/2018,175.36,175.85,172.87,174.00,174.00,1832800000
11/18/2018,174.18,179.15,174.18,177.07,177.07,1810920000
11/19/2018,177.18,177.18,147.85,149.18,149.18,2745160000
11/20/2018,148.81,151.25,126.36,130.34,130.34,3134410000
11/21/2018,131.14,138.89,125.76,136.70,136.70,2685930000
11/22/2018,136.81,137.74,126.71,126.71,126.71,1792150000
11/23/2018,126.42,127.03,119.56,123.30,123.30,1998010000
11/24/2018,123.30,126.79,110.82,113.49,113.49,1800960000
11/25/2018,113.13,118.88,101.77,116.45,116.45,2466750000
11/26/2018,116.34,118.20,104.89,108.33,108.33,2139490000
11/27/2018,107.91,111.84,102.45,110.01,110.01,2320010000
11/28/2018,110.20,126.05,110.20,122.44,122.44,2673470000
11/29/2018,122.72,123.23,115.30,117.54,117.54,2196099151
11/30/2018,117.73,119.42,111.74,113.17,113.17,2020748396
12/1/2018,113.40,120.84,111.62,118.64,118.64,2131475768
12/2/2018,118.27,120.56,116.09,116.39,116.39,1856199149
12/3/2018,116.38,116.62,107.42,108.93,108.93,1772756193
12/4/2018,108.80,113.14,107.40,110.21,110.21,1748116495
12/5/2018,110.34,110.60,102.48,102.48,102.48,1990157607
12/6/2018,102.45,104.10,91.76,91.76,91.76,2310716932
12/7/2018,91.65,96.09,83.47,93.29,93.29,2554304530
12/8/2018,93.41,97.06,86.83,92.16,92.16,1855759401
12/9/2018,92.04,98.90,91.03,95.14,95.14,1875567180
12/10/2018,94.99,96.26,90.65,91.69,91.69,1756437577
12/11/2018,91.58,92.78,87.69,88.95,88.95,1707497898
12/12/2018,88.61,92.24,88.26,90.59,90.59,1533050103
12/13/2018,90.66,91.11,85.52,86.54,86.54,1754475622
12/14/2018,86.63,87.14,83.23,84.31,84.31,1651491877
12/15/2018,84.28,85.34,82.83,84.44,84.44,1496176898
12/16/2018,84.47,87.57,84.47,85.26,85.26,1565817037
12/17/2018,85.38,96.81,85.38,95.13,95.13,2101453024
12/18/2018,95.11,101.32,92.97,101.11,101.11,2277514076
12/19/2018,101.68,108.55,100.69,101.27,101.27,2456482115
12/20/2018,101.09,117.17,100.64,116.22,116.22,3063842618
12/21/2018,115.84,119.09,107.58,109.50,109.50,2632539990
12/22/2018,109.46,116.76,107.50,116.76,116.76,2338772939
12/23/2018,117.27,133.08,117.27,130.77,130.77,3579715061
12/24/2018,130.64,157.67,130.64,140.24,140.24,4370343387
12/25/2018,141.00,141.00,125.11,129.84,129.84,3298280609
12/26/2018,129.89,136.68,126.29,131.87,131.87,2720469126
12/27/2018,131.92,132.68,115.65,116.58,116.58,2612804378
12/28/2018,116.90,137.65,115.69,137.65,137.65,3130201009
12/29/2018,138.47,147.03,134.57,138.02,138.02,3169029972
12/30/2018,137.63,140.69,133.98,139.86,139.86,2660086834
12/31/2018,140.03,140.18,132.52,133.37,133.37,2358360234
1/1/2019,133.42,141.40,132.65,140.82,140.82,2258709868
1/2/2019,141.52,156.93,140.65,155.05,155.05,3328240369
1/3/2019,155.20,155.86,147.20,149.14,149.14,2676164880
1/4/2019,148.91,156.88,147.91,154.58,154.58,3126192535
1/5/2019,154.34,160.82,154.34,155.64,155.64,3338211928
1/6/2019,155.80,159.37,152.09,157.75,157.75,3231294371
1/7/2019,157.81,158.45,151.15,151.70,151.70,2712108388
1/8/2019,151.97,153.63,148.67,150.36,150.36,2459808140
1/9/2019,150.55,153.62,150.29,150.80,150.80,2369241197
1/10/2019,150.84,152.15,126.53,128.63,128.63,3397734456
1/11/2019,127.81,130.17,125.24,127.55,127.55,2667585234
